image_id,file_name,split,label_status,source,source_url,license,scene,shoot_date,location,quality,notes
VEG_PUBLIC_0001,images/train/VEG_PUBLIC_0001.jpg,train,auto_refined,D:\Forest-AI-Lab\AI\datasets\vegetation_v2_public_review_subset,,see vegetation_v2_public/sources/public_sources.md,public_forest_review_subset,unknown,public_web,auto_refined_candidate,Strict HSV+ExG auto-refined label; threshold=47.00; coverage=0.4922; human review still required.
VEG_PUBLIC_0002,images/train/VEG_PUBLIC_0002.jpg,train,auto_refined,D:\Forest-AI-Lab\AI\datasets\vegetation_v2_public_review_subset,,see vegetation_v2_public/sources/public_sources.md,public_forest_review_subset,unknown,public_web,auto_refined_candidate,Strict HSV+ExG auto-refined label; threshold=36.00; coverage=0.3269; human review still required.
VEG_PUBLIC_0003,images/train/VEG_PUBLIC_0003.jpg,train,auto_refined,D:\Forest-AI-Lab\AI\datasets\vegetation_v2_public_review_subset,,see vegetation_v2_public/sources/public_sources.md,public_forest_review_subset,unknown,public_web,auto_refined_candidate,Strict HSV+ExG auto-refined label; threshold=89.00; coverage=0.2758; human review still required.
VEG_PUBLIC_0005,images/train/VEG_PUBLIC_0005.jpg,train,auto_refined,D:\Forest-AI-Lab\AI\datasets\vegetation_v2_public_review_subset,,see vegetation_v2_public/sources/public_sources.md,public_forest_review_subset,unknown,public_web,auto_refined_candidate,Strict HSV+ExG auto-refined label; threshold=94.00; coverage=0.1571; human review still required.
VEG_PUBLIC_0007,images/train/VEG_PUBLIC_0007.jpg,train,auto_refined,D:\Forest-AI-Lab\AI\datasets\vegetation_v2_public_review_subset,,see vegetation_v2_public/sources/public_sources.md,public_forest_review_subset,unknown,public_web,auto_refined_candidate,Strict HSV+ExG auto-refined label; threshold=47.00; coverage=0.4955; human review still required.
VEG_PUBLIC_0008,images/train/VEG_PUBLIC_0008.jpg,train,auto_refined,D:\Forest-AI-Lab\AI\datasets\vegetation_v2_public_review_subset,,see vegetation_v2_public/sources/public_sources.md,public_forest_review_subset,unknown,public_web,auto_refined_candidate,Strict HSV+ExG auto-refined label; threshold=47.00; coverage=0.3325; human review still required.
VEG_PUBLIC_0009,images/train/VEG_PUBLIC_0009.jpg,train,auto_refined,D:\Forest-AI-Lab\AI\datasets\vegetation_v2_public_review_subset,,see vegetation_v2_public/sources/public_sources.md,public_forest_review_subset,unknown,public_web,auto_refined_candidate,Strict HSV+ExG auto-refined label; threshold=87.00; coverage=0.2757; human review still required.
VEG_PUBLIC_0011,images/train/VEG_PUBLIC_0011.jpg,train,auto_refined,D:\Forest-AI-Lab\AI\datasets\vegetation_v2_public_review_subset,,see vegetation_v2_public/sources/public_sources.md,public_forest_review_subset,unknown,public_web,auto_refined_candidate,Strict HSV+ExG auto-refined label; threshold=94.00; coverage=0.1554; human review still required.
VEG_PUBLIC_0013,images/val/VEG_PUBLIC_0013.jpg,val,auto_refined,D:\Forest-AI-Lab\AI\datasets\vegetation_v2_public_review_subset,,see vegetation_v2_public/sources/public_sources.md,public_forest_review_subset,unknown,public_web,auto_refined_candidate,Strict HSV+ExG auto-refined label; threshold=47.00; coverage=0.4922; human review still required.
VEG_PUBLIC_0014,images/val/VEG_PUBLIC_0014.jpg,val,auto_refined,D:\Forest-AI-Lab\AI\datasets\vegetation_v2_public_review_subset,,see vegetation_v2_public/sources/public_sources.md,public_forest_review_subset,unknown,public_web,auto_refined_candidate,Strict HSV+ExG auto-refined label; threshold=36.00; coverage=0.3269; human review still required.
VEG_PUBLIC_0015,images/val/VEG_PUBLIC_0015.jpg,val,auto_refined,D:\Forest-AI-Lab\AI\datasets\vegetation_v2_public_review_subset,,see vegetation_v2_public/sources/public_sources.md,public_forest_review_subset,unknown,public_web,auto_refined_candidate,Strict HSV+ExG auto-refined label; threshold=89.00; coverage=0.2758; human review still required.
VEG_PUBLIC_0017,images/test/VEG_PUBLIC_0017.jpg,test,auto_refined,D:\Forest-AI-Lab\AI\datasets\vegetation_v2_public_review_subset,,see vegetation_v2_public/sources/public_sources.md,public_forest_review_subset,unknown,public_web,auto_refined_candidate,Strict HSV+ExG auto-refined label; threshold=94.00; coverage=0.1571; human review still required.
