image_id,file_name,split,label_status,source,source_url,license,scene,shoot_date,location,quality,notes
VEG_PUBLIC_0001,images/train/VEG_PUBLIC_0001.jpg,train,human_corrected,D:\Forest-AI-Lab\AI\datasets\vegetation_v2_public_human_reviewed_seed\images\train\VEG_PUBLIC_0001.jpg,,see vegetation_v2_public/sources/public_sources.md,public_forest,unknown,public_web,human_corrected_v04,Imported from LabelMe manual polygon correction task.
VEG_PUBLIC_0002,images/train/VEG_PUBLIC_0002.jpg,train,human_corrected,D:\Forest-AI-Lab\AI\datasets\vegetation_v2_public_human_reviewed_seed\images\train\VEG_PUBLIC_0002.jpg,,see vegetation_v2_public/sources/public_sources.md,public_forest,unknown,public_web,human_corrected_v04,Imported from LabelMe manual polygon correction task.
VEG_PUBLIC_0003,images/train/VEG_PUBLIC_0003.jpg,train,human_corrected,D:\Forest-AI-Lab\AI\datasets\vegetation_v2_public_human_reviewed_seed\images\train\VEG_PUBLIC_0003.jpg,,see vegetation_v2_public/sources/public_sources.md,public_forest,unknown,public_web,human_corrected_v04,Imported from LabelMe manual polygon correction task.
VEG_PUBLIC_0007,images/train/VEG_PUBLIC_0007.jpg,train,human_corrected,D:\Forest-AI-Lab\AI\datasets\vegetation_v2_public_human_reviewed_seed\images\train\VEG_PUBLIC_0007.jpg,,see vegetation_v2_public/sources/public_sources.md,public_forest,unknown,public_web,human_corrected_v04,Imported from LabelMe manual polygon correction task.
VEG_PUBLIC_0008,images/train/VEG_PUBLIC_0008.jpg,train,human_corrected,D:\Forest-AI-Lab\AI\datasets\vegetation_v2_public_human_reviewed_seed\images\train\VEG_PUBLIC_0008.jpg,,see vegetation_v2_public/sources/public_sources.md,public_forest,unknown,public_web,human_corrected_v04,Imported from LabelMe manual polygon correction task.
VEG_PUBLIC_0009,images/train/VEG_PUBLIC_0009.jpg,train,human_corrected,D:\Forest-AI-Lab\AI\datasets\vegetation_v2_public_human_reviewed_seed\images\train\VEG_PUBLIC_0009.jpg,,see vegetation_v2_public/sources/public_sources.md,public_forest,unknown,public_web,human_corrected_v04,Imported from LabelMe manual polygon correction task.
VEG_PUBLIC_0013,images/val/VEG_PUBLIC_0013.jpg,val,human_corrected,D:\Forest-AI-Lab\AI\datasets\vegetation_v2_public_human_reviewed_seed\images\val\VEG_PUBLIC_0013.jpg,,see vegetation_v2_public/sources/public_sources.md,public_forest,unknown,public_web,human_corrected_v04,Imported from LabelMe manual polygon correction task.
VEG_PUBLIC_0014,images/val/VEG_PUBLIC_0014.jpg,val,human_corrected,D:\Forest-AI-Lab\AI\datasets\vegetation_v2_public_human_reviewed_seed\images\val\VEG_PUBLIC_0014.jpg,,see vegetation_v2_public/sources/public_sources.md,public_forest,unknown,public_web,human_corrected_v04,Imported from LabelMe manual polygon correction task.
VEG_PUBLIC_0015,images/val/VEG_PUBLIC_0015.jpg,val,human_corrected,D:\Forest-AI-Lab\AI\datasets\vegetation_v2_public_human_reviewed_seed\images\val\VEG_PUBLIC_0015.jpg,,see vegetation_v2_public/sources/public_sources.md,public_forest,unknown,public_web,human_corrected_v04,Imported from LabelMe manual polygon correction task.
VEG_PUBLIC_0017,images/test/VEG_PUBLIC_0017.jpg,test,human_corrected,D:\Forest-AI-Lab\AI\datasets\vegetation_v2_public_human_reviewed_seed\images\test\VEG_PUBLIC_0017.jpg,,see vegetation_v2_public/sources/public_sources.md,public_forest,unknown,public_web,human_corrected_v04,Imported from LabelMe manual polygon correction task.
