epoch,loss,val_iou
1,1.3111424105507987,0.0
2,1.2392093794686454,0.0
3,1.1297378199441093,0.0
4,1.031198459012168,0.4433952469302653
5,0.9610721213476998,0.4901095925991416
6,0.8803608247212001,0.5085868286219379
7,0.7992836577551705,0.5299736582307045
8,0.8677266751016889,0.5479441124072757
9,0.7902766380991254,0.5508257851934322
10,0.7248330967766898,0.5727364935731954
11,0.6797360181808472,0.5882122886817395
12,0.6640876361301967,0.627713967575992
13,0.623111537524632,0.6485160910820571
14,0.6376234803880964,0.6551739424374776
15,0.7107194151197161,0.5358431754932805
16,0.6240860649517604,0.5900632278257616
17,0.6562170386314392,0.6227333784110677
18,0.5582841038703918,0.6434493814616788
19,0.5279333676610675,0.6500191681823827
20,0.5316402060644967,0.6382770535084318
21,0.5387384125164577,0.6439229126957139
22,0.49258545466831755,0.6690482740262901
23,0.5332235097885132,0.6480234297820198
24,0.5521569081715175,0.6761574483476177
25,0.5652550629207066,0.6455761976827362
26,0.5519656879561288,0.631531827708525
27,0.5435963358197894,0.6420027199289526
28,0.5488528694425311,0.6601356922414223
29,0.6143244249480111,0.6048416064055043
30,0.5015457017081124,0.6601144317363644
31,0.48316324608666555,0.6432736202410834
32,0.5054408482142857,0.6651984188447341
33,0.47074384348733084,0.6684634028160382
34,0.5068883725575039,0.6285375519081922
35,0.47523065975734163,0.672583645580501
36,0.45883214473724365,0.6649875827959865
37,0.4510453939437866,0.6802481893353588
38,0.46080975021634785,0.6842759578206378
39,0.4607688954898289,0.6821863639617853
40,0.42586497749601093,0.6801122070412738
