image_id,file_name,split,label_status,source,source_url,license,scene,shoot_date,location,quality,notes
VEG_BOOTSTRAP_0001,images/train/VEG_BOOTSTRAP_0001.jpg,train,pseudo_label,AI/input/tree.png,,project internal bootstrap sample,vegetation_demo,unknown,unknown,bootstrap,Pseudo segmentation label generated by ExG+Otsu; replace with human labels for formal experiments.
VEG_BOOTSTRAP_0002,images/train/VEG_BOOTSTRAP_0002.jpg,train,pseudo_label,AI/input/tree.png,,project internal bootstrap sample,vegetation_demo,unknown,unknown,bootstrap,Pseudo segmentation label generated by ExG+Otsu; replace with human labels for formal experiments.
VEG_BOOTSTRAP_0003,images/train/VEG_BOOTSTRAP_0003.jpg,train,pseudo_label,AI/input/tree.png,,project internal bootstrap sample,vegetation_demo,unknown,unknown,bootstrap,Pseudo segmentation label generated by ExG+Otsu; replace with human labels for formal experiments.
VEG_BOOTSTRAP_0004,images/train/VEG_BOOTSTRAP_0004.jpg,train,pseudo_label,AI/input/tree.png,,project internal bootstrap sample,vegetation_demo,unknown,unknown,bootstrap,Pseudo segmentation label generated by ExG+Otsu; replace with human labels for formal experiments.
VEG_BOOTSTRAP_0005,images/train/VEG_BOOTSTRAP_0005.jpg,train,pseudo_label,AI/input/tree.png,,project internal bootstrap sample,vegetation_demo,unknown,unknown,bootstrap,Pseudo segmentation label generated by ExG+Otsu; replace with human labels for formal experiments.
VEG_BOOTSTRAP_0006,images/train/VEG_BOOTSTRAP_0006.jpg,train,pseudo_label,AI/input/tree.png,,project internal bootstrap sample,vegetation_demo,unknown,unknown,bootstrap,Pseudo segmentation label generated by ExG+Otsu; replace with human labels for formal experiments.
VEG_BOOTSTRAP_0007,images/train/VEG_BOOTSTRAP_0007.jpg,train,pseudo_label,AI/input/tree.png,,project internal bootstrap sample,vegetation_demo,unknown,unknown,bootstrap,Pseudo segmentation label generated by ExG+Otsu; replace with human labels for formal experiments.
VEG_BOOTSTRAP_0008,images/train/VEG_BOOTSTRAP_0008.jpg,train,pseudo_label,AI/input/tree.png,,project internal bootstrap sample,vegetation_demo,unknown,unknown,bootstrap,Pseudo segmentation label generated by ExG+Otsu; replace with human labels for formal experiments.
VEG_BOOTSTRAP_0009,images/val/VEG_BOOTSTRAP_0009.jpg,val,pseudo_label,AI/input/tree.png,,project internal bootstrap sample,vegetation_demo,unknown,unknown,bootstrap,Pseudo segmentation label generated by ExG+Otsu; replace with human labels for formal experiments.
VEG_BOOTSTRAP_0010,images/val/VEG_BOOTSTRAP_0010.jpg,val,pseudo_label,AI/input/tree.png,,project internal bootstrap sample,vegetation_demo,unknown,unknown,bootstrap,Pseudo segmentation label generated by ExG+Otsu; replace with human labels for formal experiments.
VEG_BOOTSTRAP_0011,images/test/VEG_BOOTSTRAP_0011.jpg,test,pseudo_label,AI/input/tree.png,,project internal bootstrap sample,vegetation_demo,unknown,unknown,bootstrap,Pseudo segmentation label generated by ExG+Otsu; replace with human labels for formal experiments.
VEG_BOOTSTRAP_0012,images/test/VEG_BOOTSTRAP_0012.jpg,test,pseudo_label,AI/input/tree.png,,project internal bootstrap sample,vegetation_demo,unknown,unknown,bootstrap,Pseudo segmentation label generated by ExG+Otsu; replace with human labels for formal experiments.
