image_id,file_name,split,label_status,source,source_url,license,scene,shoot_date,location,quality,notes
VEG_PUBLIC_0001,images/train/VEG_PUBLIC_0001.jpg,train,pseudo_label,View at green forest from the observation tower.jpg,https://commons.wikimedia.org/wiki/File:View_at_green_forest_from_the_observation_tower.jpg,Public domain,forest_overview,unknown,public_web,alpha_public_pseudo,Pseudo segmentation label generated by ExG+Otsu; threshold=43.00; manual review required before formal experiments.
VEG_PUBLIC_0002,images/train/VEG_PUBLIC_0002.jpg,train,pseudo_label,Vast green forest (Unsplash).jpg,https://commons.wikimedia.org/wiki/File:Vast_green_forest_(Unsplash).jpg,CC0 1.0,forest_overview,unknown,public_web,alpha_public_pseudo,Pseudo segmentation label generated by ExG+Otsu; threshold=81.00; manual review required before formal experiments.
VEG_PUBLIC_0003,images/train/VEG_PUBLIC_0003.jpg,train,pseudo_label,Green coniferous forest (Unsplash).jpg,https://commons.wikimedia.org/wiki/File:Green_coniferous_forest_(Unsplash).jpg,CC0 1.0,coniferous_forest,unknown,public_web,alpha_public_pseudo,Pseudo segmentation label generated by ExG+Otsu; threshold=138.00; manual review required before formal experiments.
VEG_PUBLIC_0004,images/train/VEG_PUBLIC_0004.jpg,train,pseudo_label,Foggy green forest (Unsplash).jpg,https://commons.wikimedia.org/wiki/File:Foggy_green_forest_(Unsplash).jpg,CC0 1.0,foggy_forest,unknown,public_web,alpha_public_pseudo,Pseudo segmentation label generated by ExG+Otsu; threshold=81.00; manual review required before formal experiments.
VEG_PUBLIC_0005,images/train/VEG_PUBLIC_0005.jpg,train,pseudo_label,Green woodland from above (Unsplash).jpg,https://commons.wikimedia.org/wiki/File:Green_woodland_from_above_(Unsplash).jpg,CC0 1.0,forest_aerial,unknown,public_web,alpha_public_pseudo,Pseudo segmentation label generated by ExG+Otsu; threshold=183.00; manual review required before formal experiments.
VEG_PUBLIC_0006,images/train/VEG_PUBLIC_0006.jpg,train,pseudo_label,Nature-forest-trees-fog.jpg,https://commons.wikimedia.org/wiki/File:Nature-forest-trees-fog.jpg,CC0 1.0,forest_overview,unknown,public_web,alpha_public_pseudo,Pseudo segmentation label generated by ExG+Otsu; threshold=157.00; manual review required before formal experiments.
VEG_PUBLIC_0007,images/train/VEG_PUBLIC_0007.jpg,train,pseudo_label,View at green forest from the observation tower.jpg,https://commons.wikimedia.org/wiki/File:View_at_green_forest_from_the_observation_tower.jpg,Public domain,forest_overview,unknown,public_web,alpha_public_pseudo,Pseudo segmentation label generated by ExG+Otsu; threshold=43.00; manual review required before formal experiments.
VEG_PUBLIC_0008,images/train/VEG_PUBLIC_0008.jpg,train,pseudo_label,Vast green forest (Unsplash).jpg,https://commons.wikimedia.org/wiki/File:Vast_green_forest_(Unsplash).jpg,CC0 1.0,forest_overview,unknown,public_web,alpha_public_pseudo,Pseudo segmentation label generated by ExG+Otsu; threshold=81.00; manual review required before formal experiments.
VEG_PUBLIC_0009,images/train/VEG_PUBLIC_0009.jpg,train,pseudo_label,Green coniferous forest (Unsplash).jpg,https://commons.wikimedia.org/wiki/File:Green_coniferous_forest_(Unsplash).jpg,CC0 1.0,coniferous_forest,unknown,public_web,alpha_public_pseudo,Pseudo segmentation label generated by ExG+Otsu; threshold=138.00; manual review required before formal experiments.
VEG_PUBLIC_0010,images/train/VEG_PUBLIC_0010.jpg,train,pseudo_label,Foggy green forest (Unsplash).jpg,https://commons.wikimedia.org/wiki/File:Foggy_green_forest_(Unsplash).jpg,CC0 1.0,foggy_forest,unknown,public_web,alpha_public_pseudo,Pseudo segmentation label generated by ExG+Otsu; threshold=81.00; manual review required before formal experiments.
VEG_PUBLIC_0011,images/train/VEG_PUBLIC_0011.jpg,train,pseudo_label,Green woodland from above (Unsplash).jpg,https://commons.wikimedia.org/wiki/File:Green_woodland_from_above_(Unsplash).jpg,CC0 1.0,forest_aerial,unknown,public_web,alpha_public_pseudo,Pseudo segmentation label generated by ExG+Otsu; threshold=183.00; manual review required before formal experiments.
VEG_PUBLIC_0012,images/train/VEG_PUBLIC_0012.jpg,train,pseudo_label,Nature-forest-trees-fog.jpg,https://commons.wikimedia.org/wiki/File:Nature-forest-trees-fog.jpg,CC0 1.0,forest_overview,unknown,public_web,alpha_public_pseudo,Pseudo segmentation label generated by ExG+Otsu; threshold=157.00; manual review required before formal experiments.
VEG_PUBLIC_0013,images/val/VEG_PUBLIC_0013.jpg,val,pseudo_label,View at green forest from the observation tower.jpg,https://commons.wikimedia.org/wiki/File:View_at_green_forest_from_the_observation_tower.jpg,Public domain,forest_overview,unknown,public_web,alpha_public_pseudo,Pseudo segmentation label generated by ExG+Otsu; threshold=43.00; manual review required before formal experiments.
VEG_PUBLIC_0014,images/val/VEG_PUBLIC_0014.jpg,val,pseudo_label,Vast green forest (Unsplash).jpg,https://commons.wikimedia.org/wiki/File:Vast_green_forest_(Unsplash).jpg,CC0 1.0,forest_overview,unknown,public_web,alpha_public_pseudo,Pseudo segmentation label generated by ExG+Otsu; threshold=81.00; manual review required before formal experiments.
VEG_PUBLIC_0015,images/val/VEG_PUBLIC_0015.jpg,val,pseudo_label,Green coniferous forest (Unsplash).jpg,https://commons.wikimedia.org/wiki/File:Green_coniferous_forest_(Unsplash).jpg,CC0 1.0,coniferous_forest,unknown,public_web,alpha_public_pseudo,Pseudo segmentation label generated by ExG+Otsu; threshold=138.00; manual review required before formal experiments.
VEG_PUBLIC_0016,images/test/VEG_PUBLIC_0016.jpg,test,pseudo_label,Foggy green forest (Unsplash).jpg,https://commons.wikimedia.org/wiki/File:Foggy_green_forest_(Unsplash).jpg,CC0 1.0,foggy_forest,unknown,public_web,alpha_public_pseudo,Pseudo segmentation label generated by ExG+Otsu; threshold=81.00; manual review required before formal experiments.
VEG_PUBLIC_0017,images/test/VEG_PUBLIC_0017.jpg,test,pseudo_label,Green woodland from above (Unsplash).jpg,https://commons.wikimedia.org/wiki/File:Green_woodland_from_above_(Unsplash).jpg,CC0 1.0,forest_aerial,unknown,public_web,alpha_public_pseudo,Pseudo segmentation label generated by ExG+Otsu; threshold=183.00; manual review required before formal experiments.
VEG_PUBLIC_0018,images/test/VEG_PUBLIC_0018.jpg,test,pseudo_label,Nature-forest-trees-fog.jpg,https://commons.wikimedia.org/wiki/File:Nature-forest-trees-fog.jpg,CC0 1.0,forest_overview,unknown,public_web,alpha_public_pseudo,Pseudo segmentation label generated by ExG+Otsu; threshold=157.00; manual review required before formal experiments.
